id1,id2,sim_score
2540,13096,0.9316597
2540,16881,0.92636037
859,10256,0.9262533
1178,21224,0.91751814
2540,27667,0.91686165
2490,51336,0.9159353
1059,12182,0.9158754
828,30002,0.9153662
265,42599,0.9138904
2246,6250,0.9089258
840,50667,0.90880775
1989,13754,0.9087688
135,22973,0.9075079
2540,34826,0.9072955
674,53129,0.9072873
60,4040,0.90618825
1082,37919,0.90467393
649,21454,0.90425104
1918,49524,0.9041071
514,2754,0.9034196
2540,53970,0.90273213
2492,4589,0.90233743
2330,4589,0.90143985
2342,4589,0.90143985
883,45613,0.9005357
528,10163,0.8989525
2540,29360,0.8983934
665,21283,0.89746845
2544,40444,0.89659685
1905,13933,0.8959491
2540,53496,0.8958328
2483,4589,0.8952765
2330,27953,0.8949923
2342,27953,0.8949923
649,20876,0.8949895
2042,59907,0.8948096
2492,40444,0.89418256
2483,40444,0.8941686
581,31393,0.89378226
2053,38030,0.89338946
916,3822,0.89315355
2540,2244,0.89313745
2443,4589,0.89264524
4,60124,0.89238137
806,20029,0.8921604
840,8056,0.89213103
879,32384,0.89211667
1908,42599,0.8918575
559,7525,0.89174116
2042,43777,0.8914511
207,44003,0.8912413
1818,4443,0.8909621
2466,4589,0.89080274
2492,40642,0.890756
979,20029,0.89059377
2492,32656,0.8905426
1954,4312,0.8902528
2554,50008,0.8899292
18,7525,0.88953185
2144,57347,0.88947105
773,42029,0.88941276
2540,43640,0.88886285
2280,4589,0.8885802
2295,4589,0.8885802
1972,49855,0.8884139
16,24925,0.88837063
2492,27953,0.8880901
2443,27953,0.88798714
674,51641,0.887913
2466,40444,0.8877822
182,56576,0.88770056
1972,29702,0.8875265
1082,30906,0.8875071
207,61696,0.8874209
773,7386,0.88729936
1178,49293,0.8871855
1765,61585,0.887042
208,60089,0.8868825
1280,14415,0.8866303
1972,16106,0.88621646
2330,32656,0.886099
2342,32656,0.886099
2466,40642,0.8857461
2188,16106,0.8855256
674,21924,0.8852038
994,31888,0.8851403
1424,56576,0.8850486
2184,21032,0.88495547
2483,27953,0.88483584
2466,32656,0.8846227
2330,40642,0.8846016
2342,40642,0.8846016
2483,32656,0.88437545
2184,18910,0.88387245
2492,62857,0.88379925
674,53611,0.88373184
2443,32656,0.8833052
2342,40444,0.88324845
2330,40444,0.88324845
840,20734,0.8831669
2483,40642,0.88308096
528,33405,0.8830114
1972,13754,0.8828933
2443,40642,0.88249385
1439,47851,0.882463
916,23649,0.8824133
2144,60820,0.88231
1082,43777,0.8820834
2355,17062,0.8819843
503,31393,0.88159966
2206,2517,0.8815554
2550,40444,0.8812996
284,59163,0.8809698
1280,2863,0.880911
879,11758,0.88065904
2399,52946,0.88062304
1630,61694,0.8803165
805,12503,0.88021743
1108,17166,0.8799217
2540,4334,0.8799068
2295,40444,0.87973565
2280,40444,0.87973565
1082,51976,0.8797058
2355,31280,0.8796631
1964,30002,0.8795498
1424,10708,0.8795478
2295,40642,0.8795286
2280,40642,0.8795286
2042,30906,0.87933576
2538,53496,0.87929225
2443,40444,0.87919056
120,12676,0.8788697
665,60891,0.8783808
1178,2863,0.878345
840,37012,0.87823147
840,31888,0.8781617
2246,11134,0.87790847
2466,27953,0.87780416
674,46108,0.8777688
528,1268,0.87771547
581,25579,0.87770677
665,3779,0.87747556
178,21883,0.87747204
2295,32656,0.87742114
2280,32656,0.87742114
674,16274,0.87728864
1964,2195,0.8771163
454,59163,0.87699735
2565,57583,0.8769666
1090,36091,0.87691635
676,50248,0.8768081
1862,938,0.8766303
2049,45088,0.87660295
797,39605,0.87657654
4,49814,0.8765719
4,48837,0.87651134
2405,57875,0.87642634
676,57667,0.876261
265,56281,0.87612987
840,21177,0.87590003
996,54277,0.8758441
1818,61651,0.87583166
1964,30056,0.87580323
916,31888,0.8757498
2466,44761,0.8757326
2489,37787,0.87568575
1380,8129,0.87567025
840,34154,0.87531054
2612,6703,0.87501824
842,46608,0.8749375
566,4991,0.87485635
2295,27953,0.8746816
2280,27953,0.8746816
2540,62580,0.8745746
660,41762,0.8744259
859,12112,0.8741665
1423,56281,0.8737816
1068,27630,0.8737637
1082,59907,0.87374556
422,2583,0.8736087
535,27463,0.8735306
131,59907,0.8733367
1519,33681,0.8732168
1203,15861,0.87309045
528,27230,0.87283933
264,63403,0.8727876
2355,29409,0.8725077
667,12112,0.87247896
674,52946,0.8724704
1324,26633,0.8724328
916,34787,0.87238145
2184,48824,0.8723207
735,7677,0.8721254
340,12240,0.8721248
842,34154,0.87201643
2343,3973,0.87199116
879,10708,0.8719355
1945,37548,0.87183315
1408,49443,0.87182015
503,21924,0.8713914
4,15190,0.871287
1178,58865,0.8712764
