id,title,authors,venue,year,text
0,towards a cooperative transaction model - the cooperative activity model,"m rusinkiewicz , w klas , t tesch , j wфsch , p muth",vldb,1995,"COL title VAL towards a cooperative transaction model - the cooperative activity model COL authors VAL m rusinkiewicz , w klas , t tesch , j wфsch , p muth COL venue VAL vldb COL year VAL 1995"
1,sql/xml is making good progress,"a eisenberg , j melton",sigmod record,2002,"COL title VAL sql/xml is making good progress COL authors VAL a eisenberg , j melton COL venue VAL sigmod record COL year VAL 2002"
2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995,"COL title VAL using formal methods to reason about semantics-based decompositions of transactions COL authors VAL p ammann , s jajodia , i ray COL venue VAL vldb COL year VAL 1995"
3,editor 's notes,l liu,sigmod record,2002,COL title VAL editor 's notes COL authors VAL l liu COL venue VAL sigmod record COL year VAL 2002
4,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),,,2002,COL title VAL report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) COL authors VAL  COL venue VAL  COL year VAL 2002
5,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995,"COL title VAL schema and database evolution in the o2 object database system COL authors VAL f ferrandina , t meyer , r zicari , g ferran , j madec COL venue VAL vldb COL year VAL 1995"
6,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995,"COL title VAL procedures in object-oriented query languages COL authors VAL k subieta , y kambayashi , j leszczylowski COL venue VAL vldb COL year VAL 1995"
7,phoenix project : fault-tolerant applications,"r barga , d lomet",sigmod record,2002,"COL title VAL phoenix project : fault-tolerant applications COL authors VAL r barga , d lomet COL venue VAL sigmod record COL year VAL 2002"
8,mining the world wide web : an information search approach - book review,,,2002,COL title VAL mining the world wide web : an information search approach - book review COL authors VAL  COL venue VAL  COL year VAL 2002
9,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"f moser , a kraiss , w klas",vldb,1995,"COL title VAL l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms COL authors VAL f moser , a kraiss , w klas COL venue VAL vldb COL year VAL 1995"
10,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002,COL title VAL report on the nsf workshop on building an infrastructure for mobile and wireless systems COL authors VAL  COL venue VAL  COL year VAL 2002
11,retrieval of composite multimedia objects,"s chaudhuri , s ghandeharizadeh , c shahabi",vldb,1995,"COL title VAL retrieval of composite multimedia objects COL authors VAL s chaudhuri , s ghandeharizadeh , c shahabi COL venue VAL vldb COL year VAL 1995"
12,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002,COL title VAL mpeg-7 and multimedia database systems COL authors VAL h kosch COL venue VAL sigmod record COL year VAL 2002
13,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995,"COL title VAL the fittest survives : an adaptive approach to query optimization COL authors VAL h lu , k tan , s dao COL venue VAL vldb COL year VAL 1995"
14,reminiscences on influential papers,,,2002,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2002
15,type classification of semi-structured documents,"m tresch , n palmer , a luniewski",vldb,1995,"COL title VAL type classification of semi-structured documents COL authors VAL m tresch , n palmer , a luniewski COL venue VAL vldb COL year VAL 1995"
16,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002,COL title VAL data mining : practical machine learning tools and techniques - book review COL authors VAL j geller COL venue VAL sigmod record COL year VAL 2002
17,managing intra-operator parallelism in parallel database systems,"m mehta , d dewitt",vldb,1995,"COL title VAL managing intra-operator parallelism in parallel database systems COL authors VAL m mehta , d dewitt COL venue VAL vldb COL year VAL 1995"
18,advances in databases and information systems ( adbis ),"a caplinskas , j eder , o vasilecas",sigmod record,2002,"COL title VAL advances in databases and information systems ( adbis ) COL authors VAL a caplinskas , j eder , o vasilecas COL venue VAL sigmod record COL year VAL 2002"
19,mining generalized association rules,"r srikant , r agrawal",vldb,1995,"COL title VAL mining generalized association rules COL authors VAL r srikant , r agrawal COL venue VAL vldb COL year VAL 1995"
20,sampling-based estimation of the number of distinct values of an attribute,"p haas , j naughton , s seshadri , l stokes",vldb,1995,"COL title VAL sampling-based estimation of the number of distinct values of an attribute COL authors VAL p haas , j naughton , s seshadri , l stokes COL venue VAL vldb COL year VAL 1995"
21,book review column,k aberer,sigmod record,2002,COL title VAL book review column COL authors VAL k aberer COL venue VAL sigmod record COL year VAL 2002
22,processing object-oriented queries with invertible late bound functions,"s flodin , t risch",vldb,1995,"COL title VAL processing object-oriented queries with invertible late bound functions COL authors VAL s flodin , t risch COL venue VAL vldb COL year VAL 1995"
23,databases and transaction processing : an application-oriented approach - book review,a kemper,sigmod record,2002,COL title VAL databases and transaction processing : an application-oriented approach - book review COL authors VAL a kemper COL venue VAL sigmod record COL year VAL 2002
24,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995,"COL title VAL the clustra telecom database : high availability , high throughput , and real-time response COL authors VAL s hvasshovd , и torbjјrnsen , s bratsberg , p holager COL venue VAL vldb COL year VAL 1995"
25,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002,COL title VAL conceptual modeling and specification generation for b2b business process based on ebxml COL authors VAL h kim COL venue VAL sigmod record COL year VAL 2002
