id,title,authors,venue,year,text
0,11578 sorrento valley road,qd inc,"san diego ,",,"COL title VAL 11578 sorrento valley road COL authors VAL qd inc COL venue VAL san diego , COL year VAL "
1,initiation of crazes in polystyrene,"as argon , jg hannoosh","phil . mag ,",,"COL title VAL initiation of crazes in polystyrene COL authors VAL as argon , jg hannoosh COL venue VAL phil . mag , COL year VAL "
2,immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase n in,"gh hansen , ll wetterberg , h sjã ¶ strã ¶ m , o norã © n","the histochemical journal ,",1992.0,"COL title VAL immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase n in COL authors VAL gh hansen , ll wetterberg , h sjã ¶ strã ¶ m , o norã © n COL venue VAL the histochemical journal , COL year VAL 1992.0"
3,the burden of infectious disease among inmates and releasees from correctional facilities,"tm hammett , p harmon , w rhodes",see,,"COL title VAL the burden of infectious disease among inmates and releasees from correctional facilities COL authors VAL tm hammett , p harmon , w rhodes COL venue VAL see COL year VAL "
4,the role of faculty advising in science and engineering,jr cogdell,"new directions for teaching and learning ,",1995.0,"COL title VAL the role of faculty advising in science and engineering COL authors VAL jr cogdell COL venue VAL new directions for teaching and learning , COL year VAL 1995.0"
5,the zero multiplicity of linear recurrence sequences,wm schmidt,to,,COL title VAL the zero multiplicity of linear recurrence sequences COL authors VAL wm schmidt COL venue VAL to COL year VAL 
6,predicitve validity of kindergarten screeners for young children with reading difficulties,ra haats,,2002.0,COL title VAL predicitve validity of kindergarten screeners for young children with reading difficulties COL authors VAL ra haats COL venue VAL  COL year VAL 2002.0
7,the photosynthetic reaction center,"jr norris , j deisenhofer","san diego : academic ,",,"COL title VAL the photosynthetic reaction center COL authors VAL jr norris , j deisenhofer COL venue VAL san diego : academic , COL year VAL "
8,"f. , diene , aw , ndiaye , y. hachage linã © aire scalable et distribuã © lh * lh sous windows nt",f bennour,"res . rep. ceria , u. paris ,",,"COL title VAL f. , diene , aw , ndiaye , y. hachage linã © aire scalable et distribuã © lh * lh sous windows nt COL authors VAL f bennour COL venue VAL res . rep. ceria , u. paris , COL year VAL "
9,multidimensional similarity structure analysis,"i borg , jc lingoes",,1987.0,"COL title VAL multidimensional similarity structure analysis COL authors VAL i borg , jc lingoes COL venue VAL  COL year VAL 1987.0"
10,linear algebra and its applications harcourt brace jovanovich,g strang,"san diego ,",,"COL title VAL linear algebra and its applications harcourt brace jovanovich COL authors VAL g strang COL venue VAL san diego , COL year VAL "
11,"ded. , d. roncagliolo y u. velarde ( 1997 ) interactions and independence in stated preference",j ortãºzar,proceedings of the 25 theuropean transport,,"COL title VAL ded. , d. roncagliolo y u. velarde ( 1997 ) interactions and independence in stated preference COL authors VAL j ortãºzar COL venue VAL proceedings of the 25 theuropean transport COL year VAL "
12,stereochemical applications of gas-phase electron diffraction,"k kuchitsu , m nakata , s yamamoto , i hargittai , m","hargittai ,",,"COL title VAL stereochemical applications of gas-phase electron diffraction COL authors VAL k kuchitsu , m nakata , s yamamoto , i hargittai , m COL venue VAL hargittai , COL year VAL "
13,obtaining complete answers from incomplete databases,ay levy,"proceedings of the international conference on very large & hellip ; ,",1996.0,"COL title VAL obtaining complete answers from incomplete databases COL authors VAL ay levy COL venue VAL proceedings of the international conference on very large & hellip ; , COL year VAL 1996.0"
14,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith",proceedings of the very large data bases conference ( vldb ;,,"COL title VAL li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs COL authors VAL a natsev , y chang , j smith COL venue VAL proceedings of the very large data bases conference ( vldb ; COL year VAL "
15,classical topology and combinatorial group theory,j stillwell,,1995.0,COL title VAL classical topology and combinatorial group theory COL authors VAL j stillwell COL venue VAL  COL year VAL 1995.0
16,a database index to large biological sequences,"e hunt , mp atkinson , rw irving",,,"COL title VAL a database index to large biological sequences COL authors VAL e hunt , mp atkinson , rw irving COL venue VAL  COL year VAL "
