id,side,bucket,text,query
617,left,_none,COL title VAL workshop report on experiences using object data management in the real-world COL authors VAL  COL venue VAL  COL year VAL 1998,workshop report on experiences using object data management in the real-world
218,left,_none,COL title VAL information warfare and security - book review COL authors VAL  COL venue VAL  COL year VAL 2001,information warfare and security - book review
167,left,_none,COL title VAL report on the 8th international workshop on knowledge representation meets databases ( krdb ) COL authors VAL  COL venue VAL  COL year VAL 2001,report on the 8th international workshop on knowledge representation meets databases ( krdb )
321,left,_none,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000,chair 's message
4,left,_none,COL title VAL report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) COL authors VAL  COL venue VAL  COL year VAL 2002,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 )
2540,left,_none,"COL title VAL title , foreword , preface to the special issue on spatial database systems , index vol . 3 COL authors VAL  COL venue VAL  COL year VAL 1994","title , foreword , preface to the special issue on spatial database systems , index vol . 3"
2295,left,_none,COL title VAL guest editorial COL authors VAL  COL venue VAL  COL year VAL 2003,guest editorial
855,left,_none,"COL title VAL from the guest editors - special section on data management issues in mobile computing COL authors VAL m dunham , a helal COL venue VAL  COL year VAL 1995",from the guest editors - special section on data management issues in mobile computing m dunham
10,left,_none,COL title VAL report on the nsf workshop on building an infrastructure for mobile and wireless systems COL authors VAL  COL venue VAL  COL year VAL 2002,report on the nsf workshop on building an infrastructure for mobile and wireless systems
148,left,_none,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2001,reminiscences on influential papers
81,left,_none,COL title VAL report on the mobile search workshop at www 2002 COL authors VAL  COL venue VAL  COL year VAL 2002,report on the mobile search workshop at www 2002
1082,left,_none,COL title VAL storage and retrieval of xml data using relational databases COL authors VAL  COL venue VAL  COL year VAL 2001,storage and retrieval of xml data using relational databases
278,left,_none,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000,chair 's message
738,left,_none,COL title VAL models and languages for describing and discovering e-services COL authors VAL  COL venue VAL  COL year VAL 2001,models and languages for describing and discovering e-services
920,left,_none,COL title VAL tutorial : ldap directory services - just another database application ? COL authors VAL  COL venue VAL  COL year VAL 2000,tutorial : ldap directory services - just another database application ?
2576,left,_none,COL title VAL report on the 17th brazilian symposium on database systems ( sbbd 2002 ) COL authors VAL  COL venue VAL  COL year VAL 2003,report on the 17th brazilian symposium on database systems ( sbbd 2002 )
840,left,_none,COL title VAL report on the 1995 international workshop on temporal databases COL authors VAL  COL venue VAL  COL year VAL 1995,report on the 1995 international workshop on temporal databases
2612,left,_none,COL title VAL call for book reviews COL authors VAL  COL venue VAL  COL year VAL 2003,call for book reviews
2526,left,_none,"COL title VAL title , preface to the special issue on persistent object systems COL authors VAL  COL venue VAL  COL year VAL 1995","title , preface to the special issue on persistent object systems"
1862,left,_none,COL title VAL interview with pat selinger COL authors VAL  COL venue VAL  COL year VAL 2003,interview with pat selinger
812,left,_none,COL title VAL editor 's notes and erratum COL authors VAL  COL venue VAL  COL year VAL 1994,editor 's notes and erratum
1637,left,_none,COL title VAL keynote address COL authors VAL  COL venue VAL  COL year VAL 1995,keynote address
507,left,_none,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 1999,reminiscences on influential papers
2375,left,acm trans . database syst .,"COL title VAL specification and implementation of exceptions in workflow management systems COL authors VAL f casati , s ceri , s paraboschi , g pozzi COL venue VAL acm trans . database syst . COL year VAL 1999",specification and implementation of exceptions in workflow management systems f casati acm trans . database syst .
2361,left,acm trans . database syst .,"COL title VAL database design for incomplete relations COL authors VAL m levene , g loizou COL venue VAL acm trans . database syst . COL year VAL 1999",database design for incomplete relations m levene acm trans . database syst .
954,left,acm trans . database syst .,"COL title VAL on the computation of relational view complements COL authors VAL j lechtenbіrger , g vossen COL venue VAL acm trans . database syst . COL year VAL 2003",on the computation of relational view complements j lechtenbіrger acm trans . database syst .
2308,left,acm trans . database syst .,"COL title VAL evaluation of remote backup algorithms for transaction-processing systems COL authors VAL c polyzois , h garcia-molina COL venue VAL acm trans . database syst . COL year VAL 1994",evaluation of remote backup algorithms for transaction-processing systems c polyzois acm trans . database syst .
2374,left,acm trans . database syst .,"COL title VAL optimization of queries with user-defined predicates COL authors VAL s chaudhuri , k shim COL venue VAL acm trans . database syst . COL year VAL 1999",optimization of queries with user-defined predicates s chaudhuri acm trans . database syst .
2252,left,acm trans . database syst .,"COL title VAL \ addendum to \ '' \ `` automatic generation of production rules for integrity maintenance \ '' \ '' \ '' '' COL authors VAL s ceri , p fraternali , s paraboschi , l tanca COL venue VAL acm trans . database syst . COL year VAL 1995",\ addendum to \ '' \ `` automatic generation of production rules for integrity maintenance \ '' \ '' \ '' '' s ceri acm trans . database syst .
2305,left,acm trans . database syst .,"COL title VAL tools and transformations - rigorous and otherwise - for practical database design COL authors VAL a rosenthal , d reiner COL venue VAL acm trans . database syst . COL year VAL 1994",tools and transformations - rigorous and otherwise - for practical database design a rosenthal acm trans . database syst .
2334,left,acm trans . database syst .,"COL title VAL applying an update method to a set of receivers COL authors VAL m andries , l cabibbo , j paredaens , j bussche COL venue VAL acm trans . database syst . COL year VAL 2001",applying an update method to a set of receivers m andries acm trans . database syst .
2255,left,acm trans . database syst .,"COL title VAL fast algorithms for universal quantification in large databases COL authors VAL g graefe , r cole COL venue VAL acm trans . database syst . COL year VAL 1995",fast algorithms for universal quantification in large databases g graefe acm trans . database syst .
2333,left,acm trans . database syst .,"COL title VAL querying atsql databases with temporal logic COL authors VAL j chomicki , d toman , m bіhlen COL venue VAL acm trans . database syst . COL year VAL 2001",querying atsql databases with temporal logic j chomicki acm trans . database syst .
2373,left,acm trans . database syst .,"COL title VAL gloss : text-source discovery over the internet COL authors VAL l gravano , h garcia-molina , a tomasic COL venue VAL acm trans . database syst . COL year VAL 1999",gloss : text-source discovery over the internet l gravano acm trans . database syst .
2341,left,acm trans . database syst .,"COL title VAL a case for dynamic view management COL authors VAL y kotidis , n roussopoulos COL venue VAL acm trans . database syst . COL year VAL 2001",a case for dynamic view management y kotidis acm trans . database syst .
2325,left,acm trans . database syst .,"COL title VAL a new approach to developing and implementing eager database replication protocols COL authors VAL b kemme , g alonso COL venue VAL acm trans . database syst . COL year VAL 2000",a new approach to developing and implementing eager database replication protocols b kemme acm trans . database syst .
2314,left,acm trans . database syst .,COL title VAL a cost model for query processing in high dimensional data spaces COL authors VAL c bіhm COL venue VAL acm trans . database syst . COL year VAL 2000,a cost model for query processing in high dimensional data spaces c bіhm acm trans . database syst .
2337,left,acm trans . database syst .,"COL title VAL top-k selection queries over relational databases : mapping strategies and performance evaluation COL authors VAL n bruno , s chaudhuri , l gravano COL venue VAL acm trans . database syst . COL year VAL 2002",top-k selection queries over relational databases : mapping strategies and performance evaluation n bruno acm trans . database syst .
2273,left,acm trans . database syst .,COL title VAL model and verification of a data manager based on aries COL authors VAL d kuo COL venue VAL acm trans . database syst . COL year VAL 1996,model and verification of a data manager based on aries d kuo acm trans . database syst .
2315,left,acm trans . database syst .,"COL title VAL iterative dynamic programming : a new class of query optimization algorithms COL authors VAL d kossmann , k stocker COL venue VAL acm trans . database syst . COL year VAL 2000",iterative dynamic programming : a new class of query optimization algorithms d kossmann acm trans . database syst .
2306,left,acm trans . database syst .,"COL title VAL formal aspects of concurrency control in long-duration transaction systems using the nt/pv model COL authors VAL h korth , g speegle COL venue VAL acm trans . database syst . COL year VAL 1994",formal aspects of concurrency control in long-duration transaction systems using the nt/pv model h korth acm trans . database syst .
2338,left,acm trans . database syst .,"COL title VAL a logical foundation for deductive object-oriented databases COL authors VAL m liu , g dobbie , t ling COL venue VAL acm trans . database syst . COL year VAL 2002",a logical foundation for deductive object-oriented databases m liu acm trans . database syst .
2307,left,acm trans . database syst .,"COL title VAL synthesis of extended transaction models using acta COL authors VAL p chrysanthis , k ramamritham COL venue VAL acm trans . database syst . COL year VAL 1994",synthesis of extended transaction models using acta p chrysanthis acm trans . database syst .
2260,left,acm trans . database syst .,"COL title VAL a normal form for precisely characterizing redundancy in nested relations COL authors VAL w mok , y ng , d embley COL venue VAL acm trans . database syst . COL year VAL 1996",a normal form for precisely characterizing redundancy in nested relations w mok acm trans . database syst .
