id1,id2,sim_score
27442156,64511013,0.9995833
79821099,3447561,0.9959649
25877530,30674519,0.9949264
79788718,35583855,0.9941528
5603029,23211539,0.9938415
23211539,5603029,0.9938415
70986060,50903406,0.9914213
47751906,82583255,0.99113715
29553137,11409646,0.9902122
36022457,47146148,0.98990977
9016004,19411291,0.9898184
5137860,53641305,0.98679686
81212084,24351127,0.98156404
26301462,97657130,0.9812028
25877530,36803847,0.981178
46010816,89243104,0.98073405
36803847,30674519,0.97960967
30674519,36803847,0.97960967
5092599,53521572,0.97943866
48484532,36803847,0.9792039
87322400,66129710,0.977646
45633828,84528711,0.97755486
84528711,45633828,0.97755486
1046934,21963707,0.9768759
54500223,36986473,0.97636396
48484532,25877530,0.9763234
30674519,48484532,0.97557026
48484532,30674519,0.97557026
18500821,9232364,0.974705
1647419,81356812,0.9744541
30674519,2282686,0.9738335
25877530,2282686,0.9726163
2282686,25877530,0.9726163
516433,79625472,0.97186667
88398980,81954319,0.97175384
31803140,38344216,0.97052664
38344216,31803140,0.97052664
64511013,10214898,0.97012436
37065951,70702847,0.96868956
70702847,37065951,0.96868956
10214898,27442156,0.96832275
90603941,49605449,0.96817255
18666720,74461011,0.96696115
9746845,89243104,0.9660339
49092761,69406607,0.96588457
51683015,22211135,0.96586967
52993309,36986473,0.96501976
1741624,91126559,0.9637285
66053411,8565641,0.96369916
31558480,36803847,0.9634821
97396039,16529934,0.96327484
64692163,39833087,0.963253
54500223,52993309,0.96227
52993309,54500223,0.96227
53072167,18666720,0.96215594
25593960,45946412,0.96142435
90806148,31531912,0.96051776
70880620,48521210,0.96032166
31276154,51733905,0.95967567
59585994,29929454,0.95945203
10719102,17629924,0.95897037
28224541,24494324,0.95841676
29064292,22211135,0.9582195
22211135,29064292,0.9582195
30141859,25593960,0.9555382
31558480,30674519,0.95550764
12524915,62368315,0.9554883
62368315,12524915,0.9554883
31558480,25877530,0.9552241
12650660,81408609,0.9546524
9748896,81356812,0.95462984
55393360,16529934,0.9540505
96037332,50775039,0.9533572
48484532,2282686,0.95333326
2282686,48484532,0.95333326
36803847,2282686,0.95319396
2282686,36803847,0.95319396
50789754,35809370,0.9531846
88398980,63386383,0.9530109
82583255,38344216,0.9527819
38344216,82583255,0.9527819
18666720,52425202,0.95274985
37254069,51810284,0.95270526
51810284,37254069,0.95270526
82583255,88945662,0.9525622
88945662,82583255,0.9525622
88773659,34388814,0.9524287
34388814,88773659,0.9524287
6721540,14576497,0.9514121
31558480,48484532,0.9511433
22211135,20145574,0.9510938
12650660,27195828,0.9510116
48138837,62293619,0.9509181
47751906,88945662,0.95054954
12389785,22007806,0.94985116
6721540,29064292,0.94968337
14128915,31276154,0.94946325
51733905,88957207,0.9491124
55393360,97396039,0.9485165
7883208,41182463,0.9480714
26736430,97657130,0.94790494
25593960,79821099,0.9468943
79821099,25593960,0.9468943
79821099,45946412,0.9466448
45946412,79821099,0.9466448
45145764,8315719,0.94541895
28129178,12524915,0.94530463
12524915,28129178,0.94530463
1647419,9748896,0.945126
9748896,1647419,0.945126
43932865,27365404,0.9450964
74461011,53072167,0.94467086
53072167,74461011,0.94467086
3167871,50920560,0.9444088
20145574,29064292,0.94431865
29064292,20145574,0.94431865
71957793,77338417,0.944129
31420404,47200708,0.9440384
47200708,31420404,0.9440384
26301462,26736430,0.9439243
26736430,26301462,0.9439243
22109936,19949293,0.9433863
47751906,38344216,0.9433801
38344216,47751906,0.9433801
55393360,11022309,0.9432535
8315719,66437726,0.94325197
9746845,46010816,0.94308174
46010816,9746845,0.94308174
15787372,79475473,0.9430629
79475473,15787372,0.9430629
41485546,37955791,0.94301236
63984980,53905543,0.9430077
6480791,30526558,0.94255614
30526558,6480791,0.94255614
81954319,63386383,0.9415297
63386383,81954319,0.94152963
10999896,24052138,0.9412731
24052138,10999896,0.9412731
52425202,74461011,0.94114864
27365404,14345451,0.9405699
90183159,27347346,0.94056535
93836358,61794834,0.94050777
61794834,93836358,0.94050777
7020103,48791418,0.94047356
3447561,25593960,0.9400774
25593960,3447561,0.9400774
50944416,38344216,0.9394164
38344216,88945662,0.9391828
88945662,38344216,0.9391828
3807651,27365404,0.93914676
28129178,62368315,0.9391178
62368315,28129178,0.9391178
96636315,13174650,0.938674
516433,47389275,0.93794644
79625472,75249284,0.9372947
90603941,62578226,0.9369361
36425270,1329026,0.9361231
1329026,36425270,0.9361231
51683015,29064292,0.9358627
3889666,28656579,0.93578386
81439789,48305046,0.93559813
25870078,87824933,0.93556595
81603750,12291734,0.93556094
80725760,87459276,0.9350952
50769372,29339493,0.9350527
67614478,43411151,0.93496656
64692163,84459988,0.93489957
41485546,97168711,0.933799
19462081,76497591,0.9337734
45946412,3447561,0.9333799
87259085,61794834,0.93307674
61794834,87259085,0.93307674
27195828,81408609,0.932914
81408609,27195828,0.932914
12389785,3447561,0.93241835
3447561,12389785,0.93241835
66564908,1329026,0.93235904
96098511,74490598,0.93218297
41485546,15678458,0.9320316
15678458,41485546,0.9320316
31803140,82583255,0.9319117
82583255,31803140,0.9319117
31803140,50944416,0.93169916
50944416,31803140,0.93169916
2208630,98857946,0.9316814
98857946,2208630,0.9316814
53072167,52425202,0.93149877
52425202,53072167,0.93149877
70702847,47070583,0.9311681
79821099,12389785,0.931054
12389785,79821099,0.931054
55393360,35759560,0.9307881
35759560,55393360,0.9307881
62578226,49605449,0.9306892
49605449,62578226,0.9306892
3736831,61154808,0.9300812
62242636,15306268,0.9300375
15774916,97634734,0.92987645
36868284,7717624,0.9296937
48580118,4284864,0.9296813
96636315,5092599,0.9296006
62368315,1644190,0.9289853
45946412,22007806,0.9288782
84459988,12959047,0.92878616
93674071,6480791,0.9282884
6480791,93674071,0.9282884
68173491,1741624,0.9281243
1741624,68173491,0.9281243
97168711,37955791,0.9280893
13142970,48580118,0.9280486
16529934,11022309,0.9277582
11022309,16529934,0.9277582
71957793,93836358,0.92771035
20145574,83724071,0.9276606
1136383,47293324,0.92763585
6721540,22211135,0.9275043
22211135,6721540,0.9275043
91929224,12051271,0.9274907
52851091,33365078,0.92745584
33365078,52851091,0.92745584
29339493,7020103,0.9273988
7020103,29339493,0.9273988
31803140,47751906,0.9272875
47751906,31803140,0.9272875
25135333,52249526,0.9272706
52249526,25135333,0.9272706
14654897,66564908,0.927137
14345451,3807651,0.926916
3807651,14345451,0.926916
44884689,75255299,0.9265905
75255299,44884689,0.9265905
6480791,90945536,0.9264232
89258775,27365404,0.9263833
27365404,89258775,0.9263833
30141859,45946412,0.9263818
83724071,51683015,0.92598844
66437726,45145764,0.9250755
45145764,66437726,0.9250755
47070583,37065951,0.9249873
37065951,47070583,0.9249873
1136383,52799959,0.9249514
52799959,1136383,0.9249514
47389275,79625472,0.92450804
30526558,23211539,0.9242153
62089162,3170005,0.92419004
87317188,64518758,0.9240926
64518758,87317188,0.9240926
516433,75249284,0.923764
48102422,18147366,0.9235565
56475885,416796,0.9234293
23007161,81408609,0.92341334
81408609,23007161,0.92341334
38344216,25135333,0.92322254
87824933,84514463,0.9231298
84514463,87824933,0.9231298
50944416,25135333,0.9228724
26736430,86176880,0.9226534
36425270,66564908,0.9226018
66564908,36425270,0.9226018
29914496,415992,0.92231214
35978749,62368315,0.922286
83555610,83013356,0.9222555
22992322,18331466,0.92217743
18331466,22992322,0.92217743
92894304,77094922,0.9220204
77094922,92894304,0.9220204
51946981,12051271,0.9219229
12051271,51946981,0.9219229
11708101,35424032,0.9218986
30526558,5603029,0.92189765
10229909,23007161,0.92185605
35759560,16529934,0.921662
16529934,35759560,0.921662
54377216,38071613,0.9216446
14519075,26736430,0.92145085
26736430,14519075,0.92145085
92858368,43411151,0.9209558
78504458,57337098,0.9208541
70331081,48734649,0.92071414
69996428,79475473,0.9204813
8565641,21755591,0.9201549
89258775,14345451,0.9201038
14345451,89258775,0.9201038
54500223,45145764,0.91979134
45145764,54500223,0.91979134
13238453,52992150,0.9197074
52992150,13238453,0.9197074
6721540,20145574,0.9195523
20145574,6721540,0.9195523
23775322,27074490,0.91954494
27021728,88398980,0.91947794
28224541,7020103,0.9191323
54550733,89814977,0.9191033
87824933,27843837,0.9190001
27843837,87824933,0.9190001
51683015,20145574,0.91897225
20145574,51683015,0.91897225
30526558,66625804,0.91847306
66625804,30526558,0.91847306
12291734,84459988,0.9184234
84459988,12291734,0.9184234
35759560,97396039,0.91832465
97396039,35759560,0.91832465
21044132,4486003,0.91817915
4486003,21044132,0.91817915
86176880,14519075,0.9179795
14519075,86176880,0.9179795
2158913,31276154,0.91787493
35978749,12524915,0.9178448
12524915,35978749,0.9178448
76569969,84249757,0.91762114
37955791,15678458,0.91755617
15678458,37955791,0.91755617
15787372,69996428,0.9174793
69996428,15787372,0.9174793
43932865,89258775,0.91740274
89258775,43932865,0.91740274
57298257,7437957,0.91725826
7437957,57298257,0.91725826
47784049,22007806,0.9171961
22007806,47784049,0.9171961
29064292,67318157,0.91718686
25025467,20847407,0.91694295
20847407,25025467,0.91694295
51946981,71490927,0.9168003
71490927,51946981,0.9168003
28603694,56383083,0.91676414
56383083,28603694,0.91676414
52249526,31803140,0.91655505
24494324,2024149,0.91651636
59536106,9513553,0.9164488
17103408,75132289,0.91632277
44483408,35759560,0.9162085
35759560,44483408,0.9162085
