id,brand,title,description,price,priceCurrency,text
36425270,,"HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE",,153.99,EUR,"COL brand VAL  COL title VAL HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE COL description VAL  COL price VAL 153.99 COL priceCurrency VAL EUR"
60397145,,GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort,"Grafikkort, AMD Radeon RX 5500 XT Overclocked (Core clock 1647 MHz / Boost clock 1845 MHz), 1408 Stream kjerner, 4 GB GDDR6 (Memory clock 14 GHz) - 128-bit, PCI Express 4.0 x16, 3 x DisplayPort 1.4 / HDMI 2.0b tilkoblinger, støtter AMD FreeSync, 1 x 8-pins strømkontakt, kort lengde: 225mm - Gigabyte WindForce 2X low noise cooler - GV-R55XTOC-4GD",2322.00,NOK,"COL brand VAL  COL title VAL GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort COL description VAL Grafikkort, AMD Radeon RX 5500 XT Overclocked (Core clock 1647 MHz / Boost clock 1845 MHz), 1408 Stream kjerner, 4 GB GDDR6 (Memory clock 14 GHz) - 128-bit, PCI Express 4.0 x16, 3 x DisplayPort 1.4 / HDMI 2.0b tilkoblinger, støtter AMD FreeSync, 1 x 8-pins strømkontakt, kort lengde: 225mm - Gigabyte WindForce 2X low noise cooler - GV-R55XTOC-4GD COL price VAL 2322.00 COL priceCurrency VAL NOK"
90806148,,AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001,AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001 for sale from China with good prices.,,,COL brand VAL  COL title VAL AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001 COL description VAL AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001 for sale from China with good prices. COL price VAL  COL priceCurrency VAL 
36985401,,Epson T6923 Ultrachrome XD rautt Ink 110ml,"Nánari lýsing frá framleiðanda:Barcode: 010343886100Compatible Brand: EpsonCompatible Printer(s): SureColor SC-T3000/SC-T5000/SC-T7000 Large Format Inkjet PrintersForm Factor: Ink CartridgeInk Colour(s): MagentaInk Volume: 110.0Model Name: T692300New/Remanufactured: NewOEM Equivalent: T692300Original/Compatible: Original ManufacturerProduct Type: Ink CartridgeSingle or Multi Colour Cartridge: SingleTotal: 1For perfect results every time, Epson genuine ink gives a durable and vibrant outcome for all your documents and photosWhether you are creating colourful school projects, printing web pages, or producing your own glossy photo album, Epson offers you the best results from your Epson Printer",16371,ISK,"COL brand VAL  COL title VAL Epson T6923 Ultrachrome XD rautt Ink 110ml COL description VAL Nánari lýsing frá framleiðanda:Barcode: 010343886100Compatible Brand: EpsonCompatible Printer(s): SureColor SC-T3000/SC-T5000/SC-T7000 Large Format Inkjet PrintersForm Factor: Ink CartridgeInk Colour(s): MagentaInk Volume: 110.0Model Name: T692300New/Remanufactured: NewOEM Equivalent: T692300Original/Compatible: Original ManufacturerProduct Type: Ink CartridgeSingle or Multi Colour Cartridge: SingleTotal: 1For perfect results every time, Epson genuine ink gives a durable and vibrant outcome for all your documents and photosWhether you are creating colourful school projects, printing web pages, or producing your own glossy photo album, Epson offers you the best results from your Epson Printer COL price VAL 16371 COL priceCurrency VAL ISK"
70174967,,Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356,Quality AAA Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356 from online store for sale.,,,COL brand VAL  COL title VAL Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356 COL description VAL Quality AAA Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356 from online store for sale. COL price VAL  COL priceCurrency VAL 
71716796,SWISS MILITARY HANOWA,Swiss Military Hanowa Flagship 06-5161.2.04.003,Swiss Military Hanowa Flagship 06-5161.2.04.003,6145.0000,UAH,COL brand VAL SWISS MILITARY HANOWA COL title VAL Swiss Military Hanowa Flagship 06-5161.2.04.003 COL description VAL Swiss Military Hanowa Flagship 06-5161.2.04.003 COL price VAL 6145.0000 COL priceCurrency VAL UAH
13238453,WD,WD My Passport - 1 TB,"My Passport 1TB - USB 3.0, 256-bit AES",54.98,EUR,"COL brand VAL WD COL title VAL WD My Passport - 1 TB COL description VAL My Passport 1TB - USB 3.0, 256-bit AES COL price VAL 54.98 COL priceCurrency VAL EUR"
84875057,Corsair,8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single,,33.99,,COL brand VAL Corsair COL title VAL 8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single COL description VAL  COL price VAL 33.99 COL priceCurrency VAL 
29553137,,"Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan","Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan (CO-9050047-WW)If NASA Designed a Computer Case Fan – This Would Be It Corsair ML Series of fans magnetic levitation technology and custom engineered rotors provide unrivaled performance and low noise.Thanks to its innovative design, the ML Series fans delivers both high static pressure and high air flow for a superior fan experience.Warranty Five years Fan Size 140mm x 25mm Flow Type Static Pressure LED Color White PWM Control Yes Airflow 20 - 97 CFM Static Pressure 0.2 - 3.0 mmH20 Sound Level 16 - 37 dBA Speed 400 - 2000 RPM Power Draw 0.276 ACorsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation FanWarranty: 60 months Size: 123x53x150 mm Weight: 1 Kg",77.96,AUD,"COL brand VAL  COL title VAL Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan COL description VAL Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan (CO-9050047-WW)If NASA Designed a Computer Case Fan – This Would Be It Corsair ML Series of fans magnetic levitation technology and custom engineered rotors provide unrivaled performance and low noise.Thanks to its innovative design, the ML Series fans delivers both high static pressure and high air flow for a superior fan experience.Warranty Five years Fan Size 140mm x 25mm Flow Type Static Pressure LED Color White PWM Control Yes Airflow 20 - 97 CFM Static Pressure 0.2 - 3.0 mmH20 Sound Level 16 - 37 dBA Speed 400 - 2000 RPM Power Draw 0.276 ACorsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation FanWarranty: 60 months Size: 123x53x150 mm Weight: 1 Kg COL price VAL 77.96 COL priceCurrency VAL AUD"
48035811,,Samsung T7 Touch Portable SSD Drive [1TB](Silver),"Advanced PerformanceUp to 1050MB/s read speed, 1000MB/s Write speed supporting USB3.1 Gen2 (10Gbps)Emotional DesignEmotional LED to show product's status intuitively and a slim and light weighted metal bodySecurityOptional data protection with software, password and fingerprint recognition. AES 256-bit hardware encryptionKey FeaturesUp to 1,000 MB/s Transfer SpeedFingerprint Unlock & encryption software (Optional)Multi-Device compatabilityFull metal body",319,AUD,"COL brand VAL  COL title VAL Samsung T7 Touch Portable SSD Drive [1TB](Silver) COL description VAL Advanced PerformanceUp to 1050MB/s read speed, 1000MB/s Write speed supporting USB3.1 Gen2 (10Gbps)Emotional DesignEmotional LED to show product's status intuitively and a slim and light weighted metal bodySecurityOptional data protection with software, password and fingerprint recognition. AES 256-bit hardware encryptionKey FeaturesUp to 1,000 MB/s Transfer SpeedFingerprint Unlock & encryption software (Optional)Multi-Device compatabilityFull metal body COL price VAL 319 COL priceCurrency VAL AUD"
