id,side,bucket,text,query
49605449,left,Brother,"COL brand VAL Brother COL title VAL Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW COL description VAL The Brother HL-L6300DW is the ultimate monochrome laser printer for mid-sized workgroups with higher print volumes. This business-durable printer offers great value due to the included high-yield toner cartridge and offers even lower cost output due to the super high-yield replacement toner cartridge. Plus, maximize your productivity with fast printing up to 48ppm, automatic two-sided printing, as well as a 520-sheet capacity paper tray that holds more than a ream of paper. For even fewer refills, expand the paper capacity to 1,610 sheets with optional trays. Advanced security features provide network user authentication, and a color Touchscreen display enables direct printing from popular business cloud services. Plus, enjoy flexible connectivity and mobile device printing. COL price VAL 479.98 COL priceCurrency VAL USD",Brother Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW
7873500,left,TP-LINK,"COL brand VAL TP-LINK COL title VAL Access Point TP-LINK Wireless N 300Mbs B/G/N - 3 Antenas COL description VAL Access Point TP-LINK Wireless N 300Mbs B/G/N - 3 Antenas COL price VAL 29,75 COL priceCurrency VAL EUR",TP-LINK Access Point TP-LINK Wireless N 300Mbs B/G/N - 3 Antenas
69918467,left,MITXPC,"COL brand VAL MITXPC COL title VAL 120GB Crucial BX500 3D NAND 2.5\"" SATA SSD COL description VAL Add flash to your laptop or desktop computer with the Crucial BX500 SSD, the easiest way to get all the speed of a new computer without the price.Boot up faster, load files quicker, and improve overall system responsiveness for all your computing needs. COL price VAL 39.95 COL priceCurrency VAL USD","MITXPC 120GB Crucial BX500 3D NAND 2.5\"" SATA SSD"
4486003,left,Nintendo,COL brand VAL Nintendo COL title VAL PKM - Pokémon - Sword & Shield - Rebel Clash Booster COL description VAL Pokémon TCG: Sword & Shield—Rebel Clash booster COL price VAL 4.5 COL priceCurrency VAL EUR,Nintendo PKM - Pokémon - Sword & Shield - Rebel Clash Booster
62145678,left,Elixir,"COL brand VAL Elixir COL title VAL Elixir E16052 Nanoweb Phosphor Bronze Acoustic Guitar Strings Light Gauge 12-53 COL description VAL Elixir E16052 Nanoweb Phosphor Bronze Acoustic Guitar Strings Light Gauge 12-53 - Elixir - 1 Set (6 strings) - Elixir Nanoweb Phosphor Bronze Light Gauge Acoustic Guitar Strings 0.012\"" to 0.053\"". Elixir Nanoweb strings don't just sound great; their micro-thin coating keeps them sounding great for a lot longer than average strings. COL price VAL 24.99 COL priceCurrency VAL AUD",Elixir Elixir E16052 Nanoweb Phosphor Bronze Acoustic Guitar Strings Light Gauge 12-53
48734603,left,EC Offroad,"COL brand VAL EC Offroad COL title VAL MultiPlus Inverter/Charger C 12/2000/80-30 COL description VAL MultifunctionalThe new style MultiPlus is set to replace the earlier MultiPlus Compact range. It is a powerful true sine wave inverter, a sophisticated battery charger that features adaptive charge technology and a high-speed AC transfer switch in a single compact enclosure.Models:500VA, 800VA, 1200VA, 1600VA COL price VAL 1,699.99 COL priceCurrency VAL AUD",EC Offroad MultiPlus Inverter/Charger C 12/2000/80-30
77146001,left,Swiss Military Hanowa,COL brand VAL Swiss Military Hanowa COL title VAL Relógio Swiss Military Hanowa06-6278.04.001.07 Navalus COL description VAL Swiss Ladies Watch with DayDate COL price VAL 219.95 COL priceCurrency VAL EUR,Swiss Military Hanowa Relógio Swiss Military Hanowa06-6278.04.001.07 Navalus
77220996,left,Canon,COL brand VAL Canon COL title VAL Canon PGI-29 Ink Tank Grey 4871B001AA CO68194 COL description VAL  COL price VAL 23.81 COL priceCurrency VAL GBP,Canon Canon PGI-29 Ink Tank Grey 4871B001AA CO68194
10229909,left,Epson,COL brand VAL Epson COL title VAL Epson Tinte schwarz-photo f. R3000 COL description VAL  COL price VAL 27.28 COL priceCurrency VAL EUR,Epson Epson Tinte schwarz-photo f. R3000
12032039,left,Cisco,"COL brand VAL Cisco COL title VAL Cisco Catalyst 2960-X | WS-C2960X-24TD-L Catalyst 2960X 24 port 10/100/1000, 2 x 10G SFP+, LAN Base COL description VAL WS-C2960X-24TD-L | Catalyst 2960X 24 port 10/100/1000, 2 x 10G SFP+, LAN Base COL price VAL 66720 COL priceCurrency VAL THB","Cisco Cisco Catalyst 2960-X | WS-C2960X-24TD-L Catalyst 2960X 24 port 10/100/1000, 2 x 10G SFP+, LAN Base"
